ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=union of padded coarse transition windows
source_transition_file=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/data_processed/upgrade/capacity/phase1_capacity_coarse_transition_candidates_v2.tsv
source_transition_sha256=dffdeb049a38ca74c5dfe7433554c8be1945e6fc43f8233e96001a6d78f49032
selected_top_k=6
selected_transition_ranks=1,2,3,4,5,6
padding_factor=5/4
min_bytes=26214
max_bytes=17476270
points_per_octave=8
trial_count=2
plan_seed=7592
node_spacing_bytes=8
node_bytes=8
unique_size_count=56
plan_row_count=112
candidate_rank_1_window=4473926..8738140_slope=4.6514076854019919_trial_disagreement=0.05789039605524067
candidate_rank_2_window=139814..273070_slope=1.2077406747908834_trial_disagreement=0.085081389494881698
candidate_rank_3_window=209715..436910_slope=0.98177915059182463_trial_disagreement=0.031520882584712369
candidate_rank_4_window=8947852..17476270_slope=0.92819982424405267_trial_disagreement=0.0035545410076634602
candidate_rank_5_window=52428..109230_slope=0.78730039632923943_trial_disagreement=0.14781144781144781
candidate_rank_6_window=26214..54620_slope=0.67430591366194337_trial_disagreement=0.0061591525006159152
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	15	91749	11469	91752	16419953939894744962
1	0	1	30	273070	34134	273072	18100330274779469195
2	0	2	39	5033166	629146	5033168	15218998432382563694
3	0	3	53	15658741	1957343	15658744	12880659836430869358
4	0	4	19	139814	17477	139816	4012907629606373002
5	0	5	36	419430	52429	419432	18027698941667551935
6	0	6	29	262151	32769	262152	1532245629730062678
7	0	7	31	288358	36045	288360	12423395813419261238
8	0	8	25	227197	28400	227200	15966651320735169709
9	0	9	3	36044	4506	36048	15750450370399417059
10	0	10	10	58981	7373	58984	203004702208598884
11	0	11	55	17476270	2184534	17476272	9993390273754688290
12	0	12	37	436910	54614	436912	17222016390861026114
13	0	13	51	13421778	1677723	13421784	10414051253528759388
14	0	14	38	4473926	559241	4473928	17446035083030034014
15	0	15	43	7270129	908767	7270136	13648188457363090802
16	0	16	1	29490	3687	29496	1366009809912932719
17	0	17	34	367001	45876	367008	12298020656084634719
18	0	18	0	26214	3277	26216	6844057542853613719
19	0	19	17	104856	13107	104856	9504816930866613766
20	0	20	9	54620	6828	54624	10745933770164345274
21	0	21	33	340786	42599	340792	4938161062023705067
22	0	22	11	65535	8192	65536	8952230806479951289
23	0	23	52	14540259	1817533	14540264	1534772111506110058
24	0	24	5	42597	5325	42600	14641126543832560137
25	0	25	13	78642	9831	78648	9101155725211473980
26	0	26	35	393215	49152	393216	4783725537818637680
27	0	27	6	45874	5735	45880	388718958473947365
28	0	28	7	49151	6144	49152	12574315263703973238
29	0	29	20	157290	19662	157296	10609934732627166014
30	0	30	32	314572	39322	314576	4777134499118603284
31	0	31	23	209715	26215	209720	630913419120936108
32	0	32	40	5592407	699051	5592408	18004372897265444784
33	0	33	22	192244	24031	192248	6096208153121083158
34	0	34	48	10066333	1258292	10066336	10319063927668566328
35	0	35	45	8388611	1048577	8388616	7075377181169325352
36	0	36	27	244674	30585	244680	16841758591719263006
37	0	37	26	235929	29492	235936	5476380410978511272
38	0	38	12	72088	9011	72088	4195550490103259835
39	0	39	16	98302	12288	98304	17731661807448695062
40	0	40	46	8738140	1092268	8738144	10219134435686960346
41	0	41	47	8947852	1118482	8947856	7187541308960407185
42	0	42	41	6151648	768956	6151648	1781593883219418083
43	0	43	24	209721	26216	209728	6144743795182940880
44	0	44	42	6710889	838862	6710896	16358714488050795596
45	0	45	4	39321	4916	39328	14098678439660420054
46	0	46	49	11184815	1398102	11184816	12268042014524091998
47	0	47	28	262143	32768	262144	5354274820931585247
48	0	48	2	32767	4096	32768	1693564759285449426
49	0	49	21	174767	21846	174768	8621242953736886514
50	0	50	8	52428	6554	52432	9809095034534119038
51	0	51	50	12303296	1537912	12303296	9049798773984804724
52	0	52	14	85195	10650	85200	2250669740264231508
53	0	53	54	16777222	2097153	16777224	10048124778193772817
54	0	54	44	7829370	978672	7829376	10203389873444643228
55	0	55	18	109230	13654	109232	3880499031223993149
56	1	0	22	192244	24031	192248	11384698265751977855
57	1	1	12	72088	9011	72088	11734804348581379183
58	1	2	50	12303296	1537912	12303296	4173089656066029568
59	1	3	5	42597	5325	42600	2662199966250860243
60	1	4	1	29490	3687	29496	7899149398031652341
61	1	5	24	209721	26216	209728	5699611269735142119
62	1	6	18	109230	13654	109232	2512930794768717507
63	1	7	0	26214	3277	26216	7225506822301520046
64	1	8	40	5592407	699051	5592408	10404244600202543363
65	1	9	55	17476270	2184534	17476272	1066483068249568664
66	1	10	26	235929	29492	235936	5015180779858204978
67	1	11	37	436910	54614	436912	2811298393231613524
68	1	12	14	85195	10650	85200	10251816118372822806
69	1	13	47	8947852	1118482	8947856	6443985637133001225
70	1	14	20	157290	19662	157296	9419328664411101649
71	1	15	11	65535	8192	65536	15600778092235250889
72	1	16	41	6151648	768956	6151648	7842738237771671798
73	1	17	34	367001	45876	367008	13945475963426332058
74	1	18	51	13421778	1677723	13421784	12337648381796266764
75	1	19	35	393215	49152	393216	17712075698097715479
76	1	20	6	45874	5735	45880	10517442571924672474
77	1	21	32	314572	39322	314576	16332473633905105222
78	1	22	43	7270129	908767	7270136	9089834283497055385
79	1	23	21	174767	21846	174768	93307628064140894
80	1	24	44	7829370	978672	7829376	16089413337206053977
81	1	25	42	6710889	838862	6710896	10600437740058905153
82	1	26	2	32767	4096	32768	8900372611415448538
83	1	27	33	340786	42599	340792	10052694508450763805
84	1	28	48	10066333	1258292	10066336	777047352252552246
85	1	29	36	419430	52429	419432	530060698665116537
86	1	30	39	5033166	629146	5033168	8196526076674500704
87	1	31	31	288358	36045	288360	6864697814188064011
88	1	32	10	58981	7373	58984	15214542613496421547
89	1	33	52	14540259	1817533	14540264	17435425412021187077
90	1	34	15	91749	11469	91752	8941027772516674603
91	1	35	28	262143	32768	262144	8470598281140058889
92	1	36	13	78642	9831	78648	14126862464657154958
93	1	37	4	39321	4916	39328	4110014263433079391
94	1	38	8	52428	6554	52432	4091778767637312832
95	1	39	46	8738140	1092268	8738144	9013595750804341162
96	1	40	49	11184815	1398102	11184816	6460752240845363823
97	1	41	27	244674	30585	244680	531413695199199628
98	1	42	19	139814	17477	139816	12402028533876483458
99	1	43	3	36044	4506	36048	13632642161783305625
100	1	44	54	16777222	2097153	16777224	9526476612250763167
101	1	45	9	54620	6828	54624	15494416672146388842
102	1	46	30	273070	34134	273072	11101593587150001325
103	1	47	25	227197	28400	227200	7511321660897751072
104	1	48	17	104856	13107	104856	6912266237296508801
105	1	49	45	8388611	1048577	8388616	9956781258855140734
106	1	50	38	4473926	559241	4473928	15318227743256328736
107	1	51	29	262151	32769	262152	12876418575236136864
108	1	52	16	98302	12288	98304	3694832670709071228
109	1	53	23	209715	26215	209720	3189947109792191480
110	1	54	7	49151	6144	49152	15999742975148337021
111	1	55	53	15658741	1957343	15658744	4107893961542589071
data_end
