ece592_spatial_plan_version=1
generator=SplitMix64+Fisher-Yates
offset_generation=explicit user-provided offsets
region_count=257
region_spacing_bytes=4096
probe_offsets_bytes=8,16,24,32,40,48,56,64,72,80,96,112,120,128,136,144,160,192,224,248,256,264,288,320,384,512
unique_offset_count=26
trial_count=2
plan_seed=11592
plan_row_count=52
data_begin
global_execution_index	trial	trial_execution_index	plot_index	region_count	region_spacing_bytes	probe_offset_bytes	point_seed
0	0	0	13	257	4096	128	9971735772250520493
1	0	1	24	257	4096	384	7883014800825588901
2	0	2	14	257	4096	136	685748553797976473
3	0	3	3	257	4096	32	10914351344864074036
4	0	4	2	257	4096	24	3073400880660046311
5	0	5	22	257	4096	288	6746295533529495377
6	0	6	18	257	4096	224	15002200629790570024
7	0	7	1	257	4096	16	13896763570671911162
8	0	8	15	257	4096	144	13078510670208140310
9	0	9	21	257	4096	264	9485251671719653313
10	0	10	7	257	4096	64	14112292230304052142
11	0	11	0	257	4096	8	9718857623858592840
12	0	12	5	257	4096	48	2361926961665236015
13	0	13	11	257	4096	112	7857206343590270950
14	0	14	25	257	4096	512	5650748351279684924
15	0	15	16	257	4096	160	13173012242921521391
16	0	16	17	257	4096	192	4341396208764353085
17	0	17	6	257	4096	56	2403443981383903976
18	0	18	19	257	4096	248	8566652107914726723
19	0	19	10	257	4096	96	4529054169038294322
20	0	20	12	257	4096	120	11700823090566772442
21	0	21	4	257	4096	40	1277572410428259901
22	0	22	8	257	4096	72	14326594283734588673
23	0	23	9	257	4096	80	9919730496701716878
24	0	24	20	257	4096	256	7795476166666226496
25	0	25	23	257	4096	320	2097760004317403493
26	1	0	11	257	4096	112	5010869616172425937
27	1	1	9	257	4096	80	7292248108670683303
28	1	2	25	257	4096	512	15246103148531297117
29	1	3	22	257	4096	288	15522042717685969762
30	1	4	21	257	4096	264	14879557618074086279
31	1	5	7	257	4096	64	5487787278650973125
32	1	6	16	257	4096	160	7704736351582778386
33	1	7	13	257	4096	128	5559322986805285698
34	1	8	20	257	4096	256	11134133520860345255
35	1	9	10	257	4096	96	8195799210096279097
36	1	10	12	257	4096	120	4987571549250914695
37	1	11	3	257	4096	32	16285253212882839807
38	1	12	5	257	4096	48	13786919897859519501
39	1	13	6	257	4096	56	16870515695557553934
40	1	14	24	257	4096	384	17805207878380407594
41	1	15	19	257	4096	248	2527091687400577621
42	1	16	8	257	4096	72	5800743751423132138
43	1	17	15	257	4096	144	7671789645762906134
44	1	18	18	257	4096	224	11856821156400195580
45	1	19	4	257	4096	40	13021934657844244791
46	1	20	2	257	4096	24	16228016968142432403
47	1	21	1	257	4096	16	11994786240069170673
48	1	22	14	257	4096	136	8071612235352199342
49	1	23	0	257	4096	8	1366154094835468235
50	1	24	23	257	4096	320	920721492934911874
51	1	25	17	257	4096	192	329340516986961630
data_end
